id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,gender,color,size,pattern,google_product_category,default_product,variant
wc_post_id_2976,"Gel Rửa Mặt Eucerin Cho Da Nhờn Mụn 400ml","Gel Rửa Mặt Cho Da Dầu Mụn Eucerin ProAcne Solution Cleansing Gel là giải pháp làm sạch sâu hằng ngày cho làn da nhờn mụn đến từ thương hiệu dược mỹ phẩm Eucerin, với công thức dịu nhẹ không chứa xà phòng và hương liệu, chứa 6% Ampho-Tensides giúp loại bỏ bã nhờn dư thừa, làm sạch bụi bẩn trên da và ngăn ngừa mụn hiệu quả, mang lại một làn da sạch khỏe thoáng mịn.",http://localhost/mshop/wp-content/uploads/2020/03/sua-rua-mat-eucerin.jpg,http://localhost/mshop/san-pham/gel-rua-mat-eucerin-cho-da-nhon-mun-400ml/,"Sữa rửa mặt","Mshop",385VND,in stock,wc_post_id_2976,,,,,new,published,,,,,,,
wc_post_id_2973,"Sữa Rửa Mặt Simple Kiềm Dầu, Ngừa Mụn Cho Da Mụn 150ml","Sữa Rửa Mặt Simple Kiềm Dầu, Ngừa Mụn Cho Da Mụn 150ml là sản phẩm sữa rửa mặt đến từ thương hiệu mỹ phẩm Simple của Anh Quốc, chiết xuất từ cây phỉ, cỏ xạ hương, kẽm, prebiotic từ thực vật, vitamin B3 giúp làm sạch bụi bẩn, dầu thừa, bã nhờn đồng thời ngăn ngừa mụn hiệu quả. Sản phẩm không chứa 2000 hoạt chất có hại cho làn da, lành tính và không gây kích ứng cho da.",http://localhost/mshop/wp-content/uploads/2020/03/0006958_sua-rua-mat-simple-kiem-dau-ngua-mun-cho-da-mun-nhay-cam-150ml_510.png,http://localhost/mshop/san-pham/sua-rua-mat-simple-kiem-dau-ngua-mun-cho-da-mun-150ml/,"Sữa rửa mặt","Mshop",95VND,in stock,wc_post_id_2973,,,,,new,published,,,,,,,
wc_post_id_2971,"Gel Rửa Mặt La Roche-Posay Dành Cho Da Dầu, Nhạy Cảm 400ml","Gel Rửa Mặt La Roche-Posay Effaclar Purifying Foaming Gel For Oily Sensitive Skin là dòng sản phẩm sữa rửa mặt chuyên biệt dành cho làn da dầu, mụn, nhạy cảm đến từ thương hiệu dược mỹ phẩm La Roche-Posay nổi tiếng của Pháp, với kết cấu dạng gel tạo bọt nhẹ nhàng giúp loại bỏ bụi bẩn, tạp chất và bã nhờn dư thừa trên da hiệu quả, mang đến làn da sạch mịn, thoáng nhẹ và tươi mát. Công thức sản phẩm an toàn, lành tính, giảm thiểu tình trạng kích ứng đối với làn da nhạy cảm.",http://localhost/mshop/wp-content/uploads/2020/03/laroche-gel-rua-mat-tao-bot-da-nhay-cam-400ml.jpg,http://localhost/mshop/san-pham/gel-rua-mat-la-roche-posay-danh-cho-da-dau-nhay-cam-400ml/,"Sữa rửa mặt","Mshop",480VND,in stock,wc_post_id_2971,,,,,new,published,,,,,,,
wc_post_id_2968,"Gel Rửa Mặt Cosrx Tràm Trà, 0.5% BHA Có Độ pH Thấp 150ml","Gel Rửa Mặt Cosrx Tràm Trà, 0.5% BHA Có Độ pH Thấp 150ml là dòng sữa rửa mặt đến từ thương hiệu mỹ phẩm Cosrx của Hàn Quốc, với độ pH lý tưởng 4.5 - 5.5 sản phẩm an toàn và dịu nhẹ trên mọi làn da ngay cả làn da nhạy cảm và da mụn. Gel rửa mặt chứa 0,5% BHA tự nhiên và chiết xuất tràm trà làm sạch sâu lỗ chân lông, hỗ trợ kháng khuẩn, làm sạch mụn đồng thời tẩy da chết nhẹ nhàng.",http://localhost/mshop/wp-content/uploads/2020/03/e8bad6a77e156b4dd1ff5316911e3938.jpg,http://localhost/mshop/san-pham/gel-rua-mat-cosrx-tram-tra-0-5-bha-co-do-ph-thap-150ml/,"Sữa rửa mặt","Mshop",180VND,in stock,wc_post_id_2968,,,,,new,published,,,,,,,
1_2966,"Sữa Rửa Mặt Cetaphil Dịu Nhẹ Không Xà Phòng 500ml","Sữa Rửa Mặt Cetaphil Dịu Nhẹ Không Xà Phòng là dòng sữa rửa mặt làm sạch da đến từ thương hiệu Cetaphil - thuộc công ty dược nổi tiếng Galderma Laboratories với mạng lưới phân phối rộng khắp thế giới. Công thức sản phẩm được các chuyên gia da liễu bào chế với thành phần an toàn, dịu nhẹ, 0% xà phòng, vô cùng lành tính dành cho mọi loại da, kể cả những làn da nhạy cảm nhất.",http://localhost/mshop/wp-content/uploads/2020/03/18a18ec2019cbee3a4ea056347d4b477.jpg,http://localhost/mshop/san-pham/sua-rua-mat-cetaphil-diu-nhe-khong-xa-phong-500ml/,"Sữa rửa mặt","Mshop",280VND,in stock,1_2966,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,90VND,new,published,,,,,,,
wc_post_id_2964,"Nước Tẩy Trang Simple Làm Sạch Trang Điểm Vượt Trội 200ml","Nước Tẩy Trang Simple Kind To Skin Micellar Cleansing Water là sản phẩm tẩy trang dành cho da mặt đến từ thương hiệu Simple xuất xứ Anh Quốc. Công thức cải tiến với công nghệ làm sạch Micellar chứa hàng triệu bong bóng Micelles thông minh giúp loại bỏ lớp trang điểm và bụi bẩn hiệu quả, làm thông thoáng lỗ chân lông, mang lại cảm giác tươi mát cho da sau khi sử dụng, đồng thời cấp ẩm lên đến 4 giờ mà không để lại dư lượng thừa trên da",http://localhost/mshop/wp-content/uploads/2020/03/fec555c513cf2c86fe2039f7628096dc.jpg,http://localhost/mshop/san-pham/nuoc-tay-trang-simple-lam-sach-trang-diem-vuot-troi-200ml/,"Tẩy Trang","Mshop",120VND,in stock,wc_post_id_2964,,,,,new,published,,,,,,,
wc_post_id_2962,"Nước Tẩy Trang Bioderma Dành Cho Da Dầu & Hỗn Hợp 500ml","Nước Tẩy Trang Bioderma Sébium H2O là sản phẩm tẩy trang dành cho da dầu, da hỗn hợp đến từ thương hiệu dược mỹ phẩm Bioderma, được ứng dụng công nghệ Micellar đình đám giúp loại bỏ lớp trang điểm cùng bụi bẩn và dầu thừa trên da hiệu quả mà không gây khô căng hay nhờn rít, tạo cảm giác thông thoáng cho da sau một ngày dài mệt mỏi.",http://localhost/mshop/wp-content/uploads/2020/03/nuoc-tay-trang-bioderma-xanh.jpg,http://localhost/mshop/san-pham/nuoc-tay-trang-bioderma-danh-cho-da-dau-hon-hop-500ml/,"Tẩy Trang","Mshop",380VND,in stock,wc_post_id_2962,,,,,new,published,,,,,,,
wc_post_id_2960,"Nước Tẩy Trang Bioderma Dành Cho Da Nhạy Cảm 500ml","Nước Tẩy Trang Dành Cho Da Nhạy Cảm Bioderma Sensibio H2O là sản phẩm nước tẩy trang công nghệ Micellar đầu tiên trên thế giới, do thương hiệu dược mỹ phẩm Bioderma nổi tiếng của Pháp phát minh. Dung dịch giúp làm sạch sâu da và loại bỏ lớp trang điểm nhanh chóng mà không cần rửa lại bằng nước. Công thức dịu nhẹ, không kích ứng, không gây khô căng da, đặc biệt phù hợp với làn da nhạy cảm.",http://localhost/mshop/wp-content/uploads/2020/03/nuoc-tay-trang-bioderma-sensibio-h20-500ml_2LJcOCvk.jpg,http://localhost/mshop/san-pham/nuoc-tay-trang-bioderma-danh-cho-da-nhay-cam-500ml/,"Tẩy Trang","Mshop",480VND,in stock,wc_post_id_2960,,,,,new,published,,,,,,,
wc_post_id_1124,"Mặt Nạ Ngủ Skin1004 Cấp Ẩm, Sáng Da & Ngừa Lão Hóa 100ml","Mặt Nạ Ngủ Skin1004 Madagascar Centella Hyalu-cica Sleeping Pack là mặt nạ ngủ thuộc dòng sản phẩm Hyalu-cica mới ra mắt từ thương hiệu Skin1004, dành cho làn da mệt mỏi, thiếu sức sống. Công thức chứa phức hợp độc đáo Hyalu-cica bao gồm chiết xuất Rau Má cùng 3 loại Hyaluronic Acid, kết hợp thêm Melatoin, Niacinamide, Adenosine và các thành phần đến từ thiên nhiên khác sẽ hỗ trợ hồi phục làn da mệt mỏi, giúp da thư giãn sâu, cung cấp độ ẩm cho da bóng khỏe, đồng thời làm sáng da, tăng độ đàn hồi và bảo vệ da trước các tác động từ môi trường.",http://localhost/mshop/wp-content/uploads/2022/06/mat-na-ngu-skin1004-cap-am-sang-da-ngua-lao-hoa-100ml-1.jpg,http://localhost/mshop/san-pham/mat-na-ngu-skin1004-cap-am-sang-da-ngua-lao-hoa-100ml/,"Mặt Nạ","Mshop",260VND,in stock,wc_post_id_1124,,,,,new,published,,,,,,,
wc_post_id_1121,"Mặt Nạ Đen Sexylook Kiểm Soát Dầu & Ngừa Mụn 28ml","Mặt Nạ Đen SEXYLOOK 28ml",http://localhost/mshop/wp-content/uploads/2022/06/2f43b5cf75c4320c1ada2871efdff8f9.jpg,http://localhost/mshop/san-pham/mat-na-den-sexylook-kiem-soat-dau-ngua-mun-28ml/,"Mặt Nạ","Mshop",29VND,in stock,wc_post_id_1121,,,,,new,published,,,,,,,
